cusip,fundid,paramt,net_change,holdingbond,totalpar,matchp,yq
345397SG,29844,15000,15000,631,5826.18,0.110642739572042,199804
852060AD,29844,22050,0,631,5826.18,0.110642739572042,199804
852060AD,41739,5000,5000,98,513.595,0.110642739572042,199804
852060AD,20877,30000,30000,839,11464.104,0.110642739572042,199804
852060AD,21799,35000,35000,566,5549.955,0.110642739572042,199804
852060AD,26661,4813,4813,1811,10598.396,0.110642739572042,199804
852060AD,22065,100000,100000,3313,64759.233,0.110642739572042,199804
852060AD,26567,9000,9000,943,6077.631,0.110642739572042,199804
852060AD,20259,60000,60000,1413,28406.761,0.110642739572042,199804
852060AD,20703,50000,50000,3559,71219.793,0.110642739572042,199804
852060AD,26666,130,130,1416,19384.401,0.110642739572042,199804
345397SG,29844,15000,15000,620,5764.817,0.114015696931595,199901
852060AD,29844,22050,0,620,5764.817,0.114015696931595,199901
852060AD,41739,5000,0,99,513.197,0.114015696931595,199901
345397SG,20877,25000,25000,833,11267.291,0.114015696931595,199901
852060AD,20877,30000,0,833,11267.291,0.114015696931595,199901
852060AD,21799,0,-35000,575,6041.23,0.114015696931595,199901
852060AD,26661,9625,0,1803,17625.302,0.114015696931595,199901
345397SG,22065,11000,11000,3346,67686.009,0.114015696931595,199901
852060AD,22065,100000,0,3346,67686.009,0.114015696931595,199901
852060AD,26567,34000,25000,943,6266.044,0.114015696931595,199901
345397SG,20259,23500,23500,1422,29259.802,0.114015696931595,199901
852060AD,20259,80000,20000,1422,29259.802,0.114015696931595,199901
852060AD,20703,50000,0,3575,71682.426,0.114015696931595,199901
852060AD,26666,130,130,1411,27697.238,0.114015696931595,199901
345397SG,36954,20,20,103,40.173,0.114015696931595,199901
208251AE,29844,5500,5500,617,6200.554,0.119890952739406,199902
345397SG,29844,15000,0,617,6200.554,0.119890952739406,199902
852060AD,29844,22050,0,617,6200.554,0.119890952739406,199902
208251AE,41739,2000,2000,114,507.001,0.119890952739406,199902
852060AD,41739,0,-5000,114,507.001,0.119890952739406,199902
852060AG,41739,7800,7800,114,507.001,0.119890952739406,199902
208251AE,20877,25000,25000,830,10898.419,0.119890952739406,199902
345397SG,20877,25000,0,830,10898.419,0.119890952739406,199902
852060AD,20877,5000,-25000,830,10898.419,0.119890952739406,199902
852060AG,20877,15000,15000,830,10898.419,0.119890952739406,199902
852060AG,26326,13500,13500,602,2455.149,0.119890952739406,199902
208251AE,21799,3000,3000,591,6346.403,0.119890952739406,199902
852060AD,26661,9625,0,1799,16649.778,0.119890952739406,199902
345397SG,22065,11000,0,3351,65992.358,0.119890952739406,199902
852060AD,22065,123000,23000,3351,65992.358,0.119890952739406,199902
852060AG,22065,60000,60000,3351,65992.358,0.119890952739406,199902
852060AD,26567,34000,0,929,6443.926,0.119890952739406,199902
852060AG,26567,5000,5000,929,6443.926,0.119890952739406,199902
208251AE,20259,60000,60000,1447,30431.419,0.119890952739406,199902
345397SG,20259,23500,0,1447,30431.419,0.119890952739406,199902
852060AD,20259,70000,-10000,1447,30431.419,0.119890952739406,199902
852060AG,21374,5000,5000,541,7154.1,0.119890952739406,199902
208251AE,20703,12625,12625,3599,70938.803,0.119890952739406,199902
852060AD,20703,12425,-37575,3599,70938.803,0.119890952739406,199902
852060AG,20703,73400,73400,3599,70938.803,0.119890952739406,199902
208251AE,24228,15000,15000,2003,36679.425,0.119890952739406,199902
852060AG,24228,35000,35000,2003,36679.425,0.119890952739406,199902
852060AG,22038,1000,1000,1694,9258.643,0.119890952739406,199902
852060AD,26666,130,130,1401,19481.386,0.119890952739406,199902
345397SG,36954,53,33,119,50.811,0.119890952739406,199902
345397SG,46879,300,300,90,189.474,0.119890952739406,199902
852060AG,46879,1950,1950,90,189.474,0.119890952739406,199902
345397SG,23175,44000,0,485,5964.629,0.125703256539772,199903
852060AD,23175,0,-10000,485,5964.629,0.125703256539772,199903
208251AE,23402,3790,3790,148,1148.185,0.125703256539772,199903
345370CA,23402,4000,4000,148,1148.185,0.125703256539772,199903
852060AD,23402,7790,7790,148,1148.185,0.125703256539772,199903
208251AE,23389,12215,12215,382,5228.41,0.125703256539772,199903
